lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling,geometry,jumlah_banjir,Hasil_Prediksi,Probabilitas_Prediksi
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PANYIRAPAN",-7049881,107521854,2272.94,0.0,0.5714285714285714,1.0,0.0,POINT (107521854 -7049881),1,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, SUKANAGARA",-7065081,107518936,2267.37,0.5,0.5714285714285714,1.0,1.0,POINT (107518936 -7065081),1,1.0,0.99
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CUKANGGENTENG",-7079423,107499905,2269.68,0.5,0.5714285714285714,1.0,1.0,POINT (107499905 -7079423),1,1.0,0.99
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, CISONDARI",-7127131,107488809,2216.54,0.75,0.2857142857142857,0.75,0.0,POINT (107488809 -7127131),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, PASIRJAMBU, MARGAMULYA",-7130081,107459001,2383.19,0.5,0.2857142857142857,1.0,0.0,POINT (107459001 -7130081),2,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, NENG, AN",-7064169,107463958,147.741,0.625,0.8571428571428572,0.0,0.0,POINT (107463958 -7064169),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, PANUNDAAN",-7120492,10744017,2527.76,1.0,0.0,1.0,0.0,POINT (10744017 -7120492),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, RAWABOGO",-705837,107444787,2336.46,0.5,0.8571428571428572,1.0,1.0,POINT (107444787 -705837),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIWIDEY, SUKAWENING",-7066873,107475166,2290.97,0.0,0.8571428571428572,1.0,0.0,POINT (107475166 -7066873),1,0.0,0.02
"JAWA BARAT, KABUPATEN BANDUNG, RANCABALI, PATENGAN",-7164693,107358675,3118.86,0.0,0.8571428571428572,1.0,0.0,POINT (107358675 -7164693),1,0.0,0.02
